County NS Code,County,2010,2015,2020,2025,2030
1622943,Alcona,10942,10329,10287,10310,10427
1622944,Alger,9601,9251,8919,8661,8443
1622945,Allegan,111407,114136,119788,125865,132039
1622946,Alpena,29601,28719,28099,27695,27361
1622947,Antrim,23574,23032,23447,23817,24193
1622948,Arenac,15899,15303,14752,14258,13720
1622949,Baraga,8866,8583,8244,7929,7600
1622950,Barry,59175,59415,62023,64695,67362
1622951,Bay,107773,105281,102600,100187,97860
1622952,Benzie,17524,17393,17726,18193,18826
1622953,Berrien,156811,155071,153154,153754,156589
1622954,Branch,45248,43653,43196,43190,43509
1622955,Calhoun,136148,134339,133910,134855,136857
1622956,Cass,52288,51340,51382,52030,53143
1622957,Charlevoix,25956,26213,26137,26359,26727
1622958,Cheboygan,26145,25394,25142,24978,24919
1622959,Chippewa,38669,37980,37209,36685,36343
1622960,Clare,30924,30613,30510,30317,30095
1622961,Clinton,75367,77014,80044,83079,86257
1622962,Crawford,14081,13853,14068,14433,14871
1622963,Delta,37069,36417,35411,34761,34327
1622964,Dickinson,26168,25655,24973,24577,24416
1622965,Eaton,107763,108657,109759,111772,114183
1622966,Emmet,32694,32919,33475,34184,34942
1622967,Genesee,425789,410470,402627,397025,392464
1622968,Gladwin,25695,25222,24931,24411,23756
1622969,Gogebic,16424,15537,13914,13569,13384
1622970,Grand Traverse,86981,91546,92925,95541,98599
1622971,Gratiot,42476,41319,40609,40110,39697
1622972,Hillsdale,46686,45872,45929,46554,47699
1622973,Houghton,36625,36283,36230,36820,38069
1622974,Huron,33118,31759,30541,29460,28387
1622975,Ingham,280891,287168,296058,308388,322507
1622976,Ionia,63899,64046,64393,64755,65084
1622977,Iosco,25888,25333,24979,24988,25275
1622978,Iron,11817,11316,10922,10731,10652
1622979,Isabella,70313,70782,72062,74110,76654
1622980,Jackson,160245,159292,158056,157517,156883
1622981,Kalamazoo,250327,259716,267738,278172,290090
1622982,Kalkaska,17147,17252,17960,18622,19321
1622983,Kent,602628,637304,668535,706527,746920
1622984,Keweenaw,2156,2123,2024,1869,1692
1622985,Lake,11539,11695,11924,11801,11691
1622986,Lapeer,88318,88387,88350,88914,89343
1622987,Leelanau,21713,21637,21762,22115,22512
1622988,Lenawee,99892,98385,98666,99546,100929
1622989,Livingston,180961,187186,194008,202222,210271
1622990,Luce,6631,6429,6329,6306,6295
1622991,Mackinac,11117,10822,10468,10172,9960
1622992,Macomb,841039,865086,883019,907639,933965
1622993,Manistee,24747,24447,24391,24517,24799
1622994,Marquette,67071,67319,66553,67245,68535
1622995,Mason,28691,28741,29380,30023,30726
1622996,Mecosta,42798,43026,43585,44058,44588
1622997,Menominee,24029,23466,22626,22206,21946
1622998,Midland,83626,83626,83498,84478,86135
1622999,Missaukee,14851,14885,15061,15222,15412
1623000,Monroe,152024,149386,149610,150939,153037
1623001,Montcalm,63342,62764,64457,66227,68045
1623002,Montmorency,9760,9288,9188,9164,9181
1623003,Muskegon,172194,172462,175323,178724,182278
1623004,Newaygo,48460,47888,48809,50070,51547
1623005,Oakland,1202384,1244711,1264514,1302035,1350052
1623006,Oceana,26570,26328,26589,27094,27795
1623007,Ogemaw,21699,20895,20996,21047,21041
1623008,Ontonagon,6780,6038,5560,5057,4585
1623009,Osceola,23528,23177,23354,23597,23877
1623010,Oscoda,8636,8277,8217,8115,8003
1623011,Otsego,24166,24211,25046,26147,27445
1623012,Ottawa,263795,280958,295791,313336,331723
1623013,Presque Isle,13376,12794,12636,12446,12229
1623014,Roscommon,24448,23914,23778,23779,23903
1623015,Saginaw,200169,193314,188921,184086,178865
1625033,St. Clair,163049,159749,158893,158777,158698
1625034,St. Joseph,61295,60805,61028,61746,62968
1623016,Sanilac,43101,41446,40944,40494,39964
1623017,Schoolcraft,8485,8123,7968,8012,8055
1623018,Shiawassee,70663,68485,68156,68101,68177
1623019,Tuscola,55730,53731,51674,49954,48103
1623020,Van Buren,76264,75064,75545,76279,77172
1623021,Washtenaw,345104,363109,376857,397323,422683
1623022,Wayne,1820539,1764726,1741463,1732887,1730000
1623023,Wexford,32735,32893,33755,34697,35793
