County NS Code,County,2010,2015,2020,2025,2030,
1266983,Aurora,2710,2689,2657,2651,2661,
1266986,Beadle,17398,17584,17739,17849,17919,
1265812,Bennett,3431,3470,3532,3606,3690,
1266997,Bon Homme,7070,6958,6850,6781,6726,
1265779,Brookings,31965,33846,35647,37353,38985,
1265785,Brown,36531,37094,37656,38037,38155,
1265768,Brule,5255,5257,5268,5286,5306,
1265767,Buffalo,1912,1950,2001,2063,2144,
1265793,Butte,10110,10614,11108,11560,11993,
1266974,Campbell,1466,1323,1198,1077,936,
1266976,Charles Mix,9129,9158,9276,9497,9757,
1266985,Clark,3691,3548,3401,3286,3177,
1265764,Clay,13864,14366,14909,15463,16000,
1265791,Codington,27227,28120,28932,29627,30204,
1265811,Corson,4050,4059,4115,4173,4248,
1265788,Custer,8216,8645,9028,9360,9636,
1266980,Davison,19504,19961,20410,20797,21082,
1265790,Day,5710,5531,5355,5189,5026,
1265781,Deuel,4364,4313,4270,4247,4203,
1266994,Dewey,5301,5334,5438,5581,5699,
1266978,Douglas,3002,2830,2683,2572,2475,
1266972,Edmunds,4071,3947,3832,3744,3671,
1265787,Fall River,7094,7262,7394,7500,7575,
1265760,Faulk,2364,2261,2160,2065,1975,
1265782,Grant,7356,7170,6962,6803,6628,
1265765,Gregory,4271,4069,3864,3689,3522,
1266988,Haakon,1937,1812,1664,1526,1400,
1265766,Hamlin,5903,6054,6248,6513,6843,
1265783,Hand,3431,3264,3092,2940,2803,
1266979,Hanson,3331,3599,3884,4236,4635,
1265792,Harding,1255,1193,1152,1113,1050,
1265774,Hughes,17022,17639,18131,18518,18823,
1265771,Hutchinson,7343,7077,6834,6708,6617,
1266984,Hyde,1420,1321,1222,1134,1051,
1265794,Jackson,3031,3053,3116,3192,3267,
1265778,Jerauld,2071,2001,1916,1819,1737,
1266981,Jones,1006,932,861,796,727,
1265780,Kingsbury,5148,4997,4828,4695,4559,
1265776,Lake,11200,11442,11732,11995,12151,
1266996,Lawrence,24097,24921,25780,26459,26823,
1265769,Lincoln,44828,53631,62170,70483,78966,
1265789,Lyman,3755,3764,3788,3818,3816,
1265759,Marshall,4656,4610,4562,4511,4447,4365
1265773,McCook,5618,5642,5639,5700,5816,
1265762,McPherson,2459,2361,2262,2197,2159,
1266991,Meade,25434,26407,27195,27805,28317,
1267177,Mellette,2048,2056,2087,2136,2188,
1265777,Miner,2389,2272,2161,2066,1981,
1265772,Minnehaha,169468,180180,190105,198679,205960,
1265775,Moody,6486,6603,6709,6825,6926,
1266992,Oglala Lakota,13586,14687,15963,17237,18443,
1266995,Pennington,100948,107845,114161,119876,125154,
1266990,Perkins,2982,2862,2746,2653,2552,
1265761,Potter,2329,2170,2013,1876,1754,
1265786,Roberts,10149,10245,10456,10691,10922,
1266977,Sanborn,2355,2250,2147,2039,1922,
1266987,Spink,6415,6167,5937,5745,5554,
1266998,Stanley,2966,3047,3113,3177,3253,
1266982,Sully,1373,1327,1267,1205,1142,
1266989,Todd,9612,9931,10234,10559,10926,
1265784,Tripp,5644,5385,5158,4952,4732,
1265770,Turner,8347,8417,8491,8581,8649,
1265763,Union,14399,15562,16659,17770,18929,
1266973,Walworth,5438,5273,5099,4929,4768,
1266975,Yankton,22438,22925,23378,23764,24026,
1266993,Ziebach,2801,2986,3189,3427,3697,
